frame_id,camera,local_track_id,global_id,x1,y1,x2,y2,width,height,center_x,center_y,confidence
6,broadcast,5,5,883,575,949,671,66,96,916.0,623.0,0.9196915626525879
6,broadcast,4,4,1225,458,1273,551,48,93,1249.0,504.5,0.9058720469474792
6,broadcast,10,10,1736,589,1783,694,47,105,1759.5,641.5,0.9020271301269531
6,broadcast,12,12,1569,551,1639,660,70,109,1604.0,605.5,0.8801642656326294
6,broadcast,8,8,1469,419,1527,504,58,85,1498.0,461.5,0.8801535367965698
6,broadcast,11,11,1551,484,1616,575,65,91,1583.5,529.5,0.8687623739242554
6,tacticam,14,5,934,267,969,327,35,60,951.5,297.0,0.9273439645767212
6,tacticam,1,9,300,518,346,587,46,69,323.0,552.5,0.9256312251091003
6,tacticam,10,3,312,793,362,867,50,74,337.0,830.0,0.9208198189735413
6,tacticam,19,27,554,91,591,140,37,49,572.5,115.5,0.9187987446784973
6,tacticam,11,14,282,438,316,500,34,62,299.0,469.0,0.9181910157203674
6,tacticam,8,8,1293,812,1342,888,49,76,1317.5,850.0,0.9163919687271118
6,tacticam,15,11,1009,146,1042,194,33,48,1025.5,170.0,0.9160268306732178
6,tacticam,3,12,1125,480,1157,543,32,63,1141.0,511.5,0.9153013825416565
6,tacticam,18,7,1478,223,1509,272,31,49,1493.5,247.5,0.9130489230155945
6,tacticam,12,19,723,346,757,402,34,56,740.0,374.0,0.9080526828765869
6,tacticam,7,29,1664,461,1695,523,31,62,1679.5,492.0,0.905739426612854
6,tacticam,17,31,431,205,477,261,46,56,454.0,233.0,0.9055044054985046
6,tacticam,4,20,923,196,957,245,34,49,940.0,220.5,0.9012912511825562
6,tacticam,6,22,1132,347,1156,406,24,59,1144.0,376.5,0.8901358246803284
6,tacticam,13,10,763,398,786,455,23,57,774.5,426.5,0.8818519711494446
6,tacticam,21,16,898,156,930,203,32,47,914.0,179.5,0.8579731583595276
6,tacticam,20,17,868,147,901,189,33,42,884.5,168.0,0.8518863916397095
6,tacticam,22,32,461,69,497,119,36,50,479.0,94.0,0.6820402145385742
6,tacticam,2,15,1716,324,1741,383,25,59,1728.5,353.5,0.6627753973007202
7,broadcast,6,6,803,560,872,663,69,103,837.5,611.5,0.9265096187591553
7,broadcast,3,3,607,751,676,874,69,123,641.5,812.5,0.91718590259552
7,broadcast,7,7,1650,446,1712,525,62,79,1681.0,485.5,0.9086260199546814
7,broadcast,5,5,891,575,955,669,64,94,923.0,622.0,0.9060583710670471
7,broadcast,10,10,1742,590,1796,695,54,105,1769.0,642.5,0.9060087203979492
7,broadcast,9,9,838,615,893,724,55,109,865.5,669.5,0.9041571021080017
7,broadcast,4,4,1235,462,1280,553,45,91,1257.5,507.5,0.8957818150520325
7,broadcast,2,2,1546,713,1645,832,99,119,1595.5,772.5,0.8886674046516418
7,broadcast,12,12,1571,555,1649,658,78,103,1610.0,606.5,0.8768053650856018
7,broadcast,8,8,1474,424,1532,507,58,83,1503.0,465.5,0.8739987015724182
7,broadcast,11,11,1547,487,1595,581,48,94,1571.0,534.0,0.8709350824356079
7,broadcast,13,13,1547,713,1614,831,67,118,1580.5,772.0,0.9180934429168701
7,tacticam,1,9,299,516,347,585,48,69,323.0,550.5,0.9275910258293152
7,tacticam,11,14,279,437,314,499,35,62,296.5,468.0,0.925512433052063
7,tacticam,19,27,553,90,591,140,38,50,572.0,115.0,0.9220006465911865
7,tacticam,10,3,305,793,351,867,46,74,328.0,830.0,0.920640766620636
